id,nome,referencia,descricao,valor,imagem,categoria
1,SHAMPOO GATOO 500ML CHUA,PE4071,PARA CAES,10.99,PE4071.jpg,BANHO E TOSA
2,SHAMPOO 2 EM 1 500ML CHUA,PE4051,PARA CAES,10.99,PE4051.jpg,BANHO E TOSA
3,SHAMPOO FILHOTES 500ML CHUA,PE4066,PARA CAES,10.99,PE4066.jpg,BANHO E TOSA
4,SHAMPOO HIDRATANTE 500ML CHUA,PE4061,PARA CAES,10.99,PE4061.jpg,BANHO E TOSA
5,SHAMPOO NEUTRO 500ML CHUA,PE4056,PARA CAES,10.99,PE4056.jpg,BANHO E TOSA
6,SHAMPOO BRANQUEADO 500ML CHUA,PE4046,PARA CAES,10.99,PE4046.jpg,BANHO E TOSA
7,PERFUME AMORE 60ML CHUA,PE4029,PARA CAES,9.90,PE4029.jpg,BANHO E TOSA
8,PERFUME CARINO 60ML CHUA,PE4023,PARA CAES,9.90,PE4023.jpg,BANHO E TOSA
9,PERFUME GATTO 60ML CHUA,PE0000,PARA CAES,9.90,PE0000.jpg,BANHO E TOSA
10,PERFUME PASSIONE 60ML CHUA,PE4032,PARA CAES,9.90,PE4032.jpg,BANHO E TOSA
11,PERFUME PICOLLO 60ML CHUA,PE4026,PARA CAES,9.90,PE4026.jpg,BANHO E TOSA
12,PERFUME TALCO BABY 60ML CHUA,PE4035,PARA CAES,9.90,PE4035.jpg,BANHO E TOSA
13,PERFUME VITTA 60ML CHUA,PE4020,PARA CAES,9.90,PE4020.jpg,BANHO E TOSA
14,KIT HIGIENICO FUN CAT 3 X 1 AZUL,KP704,PARA CAES,10.90,KP704.jpg,SANITARIO
15,KIT HIGIENICO FUN CAT 3 X 1 ROSA,KP705,PARA CAES,10.90,KP705.jpg,SANITARIO
16,KIT HIGIENICO FUN CAT 3 X 1 VERMELHO,KP706,PARA CAES,10.90,KP706.jpg,SANITARIO
17,KIT HIGIENICO FUN CAT 3 X 1 PRETO,KP707,PARA CAES,10.90,KP707.jpg,SANITARIO
18,BANDEJA HIGIENICA FUN CAT AZUL,KP709,PARA CAES,10.90,KP709.jpg,SANITARIO
19,BANDEJA HIGIENICA FUN CAT ROSA,KP710,PARA CAES,10.90,KP710.jpg,SANITARIO
20,BANDEJA HIGIENICA FUN CAT VERMELHA,KP711,PARA CAES,10.90,KP711.jpg,SANITARIO
21,BANDEJA HIGIENICA FUN CAT PRETA,KP712,PARA CAES,10.90,KP712.jpg,SANITARIO
22,PA HIGIENICA CAT AZUL,KP716,PARA CAES,10.90,KP716.jpg,SANITARIO
23,PA HIGIENICA CAT ROSA,KP717,PARA CAES,10.90,KP717.jpg,SANITARIO
24,PA HIGIENICA CAT VERMELHA,KP718,PARA CAES,10.90,KP718.jpg,SANITARIO
25,PA HIGIENICA CAT PRETA,KP719,PARA CAES,10.90,KP719.jpg,SANITARIO
26,COMEDOURO OU BEBEDOURO CAT AZUL,KP720,PARA CAES,10.90,KP720.jpg,ACESSORIOS
27,COMEDOURO OU BEBEDOURO CAT ROSA,KP721,PARA CAES,10.90,KP721.jpg,ACESSORIOS
28,COMEDOURO OU BEBEDOURO CAT VERMELHA,KP722,PARA CAES,10.90,KP722.jpg,ACESSORIOS
29,COMEDOURO OU BEBEDOURO CAT PRETA,KP723,PARA CAES,10.90,KP723.jpg,ACESSORIOS
